sentence,label,concept,category,feature,id
a catapult can transport people.,0,catapult,weapon,can transport people,748
a basket can transport people.,0,basket,container,can transport people,749
a harpoon can transport people.,0,harpoon,weapon,can transport people,750
a shovel can transport people.,0,shovel,tool,can transport people,751
a ladle can transport people.,0,ladle,kitchenware,can transport people,752
a pig can transport people.,0,pig,animal,can transport people,753
a mirror can transport people.,0,mirror,furniture,can transport people,754
a bin can transport people.,0,bin,container,can transport people,755
a bowl can transport people.,0,bowl,container,can transport people,756
a bucket can transport people.,0,bucket,container,can transport people,757
a yoyo can transport people.,0,yoyo,toy,can transport people,758
a chest of drawers can transport people.,0,chest_of_drawers,furniture,can transport people,759
earmuffs can transport people.,0,earmuffs,clothing,can transport people,760
a bottle can transport people.,0,bottle,container,can transport people,761
a cradle can transport people.,0,cradle,furniture,can transport people,762
a dagger can transport people.,0,dagger,weapon,can transport people,763
a rattle can transport people.,0,rattle,toy,can transport people,764
a screwdriver can transport people.,0,screwdriver,tool,can transport people,765
a grenade can transport people.,0,grenade,weapon,can transport people,766
a throne can transport people.,0,throne,furniture,can transport people,767
a rhino can transport people.,0,rhino,animal,can transport people,768
a broom can transport people.,0,broom,tool,can transport people,769
ice cream can transport people.,0,ice_cream,food,can transport people,770
an eagle can transport people.,0,eagle,bird,can transport people,771
a box can transport people.,0,box,container,can transport people,772
a hoe can transport people.,0,hoe,tool,can transport people,773
a lamp can transport people.,0,lamp,furniture,can transport people,774
a leek can transport people.,0,leek,vegetable,can transport people,775
a sink can transport people.,0,sink,container,can transport people,776
a pansy can transport people.,0,pansy,flower,can transport people,777
a sofa can transport people.,0,sofa,furniture,can transport people,778
a peeler can transport people.,0,peeler,kitchenware,can transport people,779
a rollerskate can transport people.,0,rollerskate,toy,can transport people,780
a strainer can transport people.,0,strainer,kitchenware,can transport people,781
a bolt can transport people.,0,bolt,tool,can transport people,782
a giraffe can transport people.,0,giraffe,animal,can transport people,783
a bag can transport people.,0,bag,container,can transport people,784
a penguin can transport people.,0,penguin,bird,can transport people,785
a bomb can transport people.,0,bomb,weapon,can transport people,786
a chandelier can transport people.,0,chandelier,furniture,can transport people,787
a puppet can transport people.,0,puppet,toy,can transport people,788
a camera can transport people.,0,camera,appliance,can transport people,789
a clamp can transport people.,0,clamp,tool,can transport people,790
a barrel can transport people.,0,barrel,container,can transport people,791
a table can transport people.,0,table,furniture,can transport people,792
a kite can transport people.,0,kite,toy,can transport people,793
a chopping board can transport people.,0,chopping_board,kitchenware,can transport people,794
a drill can transport people.,0,drill,tool,can transport people,795
a termite can transport people.,0,termite,invertebrate,can transport people,796
a donkey can transport people.,0,donkey,animal,can transport people,797
a bookcase can transport people.,0,bookcase,furniture,can transport people,798
an armor can transport people.,0,armor,clothing,can transport people,799
milk can transport people.,0,milk,food,can transport people,800
a spirit level can transport people.,0,spirit_level,tool,can transport people,801
a wallet can transport people.,0,wallet,container,can transport people,802
a saw can transport people.,0,saw,tool,can transport people,803
a rake can transport people.,0,rake,tool,can transport people,804
a mosquito can transport people.,0,mosquito,invertebrate,can transport people,805
a doll can transport people.,0,doll,toy,can transport people,806
a bathtub can transport people.,0,bathtub,container,can transport people,807
a plow can transport people.,0,plow,tool,can transport people,808
an ant can carry things.,1,ant,invertebrate,can carry things,955
a bee can carry things.,0,bee,invertebrate,can carry things,956
a wasp can carry things.,0,wasp,invertebrate,can carry things,957
a trolley can carry objects.,1,trolley,vehicle,can carry objects,958
a lorry can carry objects.,1,lorry,vehicle,can carry objects,959
a box can carry objects.,1,box,container,can carry objects,960
a car can carry objects.,1,car,vehicle,can carry objects,961
a satchel can carry objects.,1,satchel,container,can carry objects,962
a carriage can carry objects.,1,carriage,vehicle,can carry objects,963
an arm can carry objects.,1,arm,body part,can carry objects,964
a van can carry objects.,1,van,vehicle,can carry objects,965
a tray can carry objects.,1,tray,kitchenware,can carry objects,966
a basket can carry objects.,1,basket,container,can carry objects,967
a ladle can carry objects.,1,ladle,kitchenware,can carry objects,968
a bag can carry objects.,1,bag,container,can carry objects,969
a bin can carry objects.,1,bin,container,can carry objects,970
a mug can carry objects.,1,mug,container,can carry objects,971
a bowl can carry objects.,1,bowl,container,can carry objects,972
a barrel can carry objects.,1,barrel,container,can carry objects,973
a bucket can carry objects.,1,bucket,container,can carry objects,974
a wheelbarrow can carry objects.,1,wheelbarrow,vehicle,can carry objects,975
a bottle can carry objects.,1,bottle,container,can carry objects,976
a cup can carry objects.,1,cup,container,can carry objects,977
a train can carry objects.,1,train,vehicle,can carry objects,978
a wallet can carry objects.,1,wallet,container,can carry objects,979
a truck can carry objects.,1,truck,vehicle,can carry objects,980
a jug can carry objects.,1,jug,container,can carry objects,981
a bus can carry objects.,1,bus,vehicle,can carry objects,982
a cymbal can carry objects.,0,cymbal,music,can carry objects,983
a dice can carry objects.,0,dice,toy,can carry objects,984
a tank can carry objects.,0,tank,vehicle,can carry objects,985
a basin can carry objects.,0,basin,container,can carry objects,986
a tricycle can carry objects.,0,tricycle,vehicle,can carry objects,987
ketchup can carry objects.,0,ketchup,food,can carry objects,988
a yacht can carry objects.,0,yacht,water vehicle,can carry objects,989
a balloon can carry objects.,0,balloon,toy,can carry objects,990
a lamp can carry objects.,0,lamp,furniture,can carry objects,991
a hoe can carry objects.,0,hoe,tool,can carry objects,992
a cucumber can carry objects.,0,cucumber,vegetable,can carry objects,993
a sink can carry objects.,0,sink,container,can carry objects,994
brandy can carry objects.,0,brandy,drink,can carry objects,995
a rocket can carry objects.,0,rocket,vehicle,can carry objects,996
a motorcycle can carry objects.,0,motorcycle,vehicle,can carry objects,997
a peeler can carry objects.,0,peeler,kitchenware,can carry objects,998
a jar can carry objects.,0,jar,container,can carry objects,999
a unicycle can carry objects.,0,unicycle,vehicle,can carry objects,1000
a rollerskate can carry objects.,0,rollerskate,toy,can carry objects,1001
a nut can carry objects.,0,nut,fruit,can carry objects,1002
a hippo can carry objects.,0,hippo,animal,can carry objects,1003
a cart can carry objects.,0,cart,vehicle,can carry objects,1004
a satsuma can carry objects.,0,satsuma,fruit,can carry objects,1005
a leg can carry objects.,0,leg,body part,can carry objects,1006
a spoon can carry objects.,0,spoon,kitchenware,can carry objects,1007
a catapult can carry objects.,0,catapult,weapon,can carry objects,1008
a locust can carry objects.,0,locust,invertebrate,can carry objects,1009
a ship can carry objects.,0,ship,water vehicle,can carry objects,1010
a ferry can carry objects.,0,ferry,water vehicle,can carry objects,1011
butter can carry objects.,0,butter,food,can carry objects,1012
a lily can carry objects.,0,lily,flower,can carry objects,1013
a cage can carry objects.,0,cage,container,can carry objects,1014
a sledge can carry objects.,0,sledge,vehicle,can carry objects,1015
a mirror can carry objects.,0,mirror,furniture,can carry objects,1016
a penguin can carry objects.,0,penguin,bird,can carry objects,1017
a chandelier can carry objects.,0,chandelier,furniture,can carry objects,1018
a swan can carry objects.,0,swan,bird,can carry objects,1019
a puppet can carry objects.,0,puppet,toy,can carry objects,1020
a skateboard can carry objects.,0,skateboard,toy,can carry objects,1021
a raft can carry objects.,0,raft,water vehicle,can carry objects,1022
a tugboat can carry objects.,0,tugboat,water vehicle,can carry objects,1023
a kite can carry objects.,0,kite,toy,can carry objects,1024
a toad can carry objects.,0,toad,animal,can carry objects,1025
a chopping board can carry objects.,0,chopping_board,kitchenware,can carry objects,1026
a cat can carry objects.,0,cat,animal,can carry objects,1027
a glider can carry objects.,0,glider,vehicle,can carry objects,1028
a turnip can carry objects.,0,turnip,vegetable,can carry objects,1029
a yoyo can carry objects.,0,yoyo,toy,can carry objects,1030
earmuffs can carry objects.,0,earmuffs,clothing,can carry objects,1031
a chest of drawers can carry objects.,0,chest_of_drawers,furniture,can carry objects,1032
a bicycle can carry objects.,0,bicycle,vehicle,can carry objects,1033
a tractor can carry objects.,0,tractor,vehicle,can carry objects,1034
a donkey can carry objects.,0,donkey,animal,can carry objects,1035
a coach can carry objects.,0,coach,vehicle,can carry objects,1036
an armor can carry objects.,0,armor,clothing,can carry objects,1037
a rattle can carry objects.,0,rattle,toy,can carry objects,1038
a bra can carry objects.,0,bra,clothing,can carry objects,1039
mayonnaise can carry objects.,0,mayonnaise,food,can carry objects,1040
a toe can carry objects.,0,toe,body part,can carry objects,1041
a rake can carry objects.,0,rake,tool,can carry objects,1042
an ashtray can carry objects.,0,ashtray,container,can carry objects,1043
a boat can carry objects.,0,boat,water vehicle,can carry objects,1044
tea can carry objects.,0,tea,drink,can carry objects,1045
a doll can carry objects.,0,doll,toy,can carry objects,1046
a bathtub can carry objects.,0,bathtub,container,can carry objects,1047
a tank has an engine.,1,tank,vehicle,has an engine,1048
a lorry has an engine.,1,lorry,vehicle,has an engine,1049
a limousine has an engine.,1,limousine,vehicle,has an engine,1050
a yacht has an engine.,1,yacht,water vehicle,has an engine,1051
a car has an engine.,1,car,vehicle,has an engine,1052
a rocket has an engine.,1,rocket,vehicle,has an engine,1053
a motorcycle has an engine.,1,motorcycle,vehicle,has an engine,1054
a moped has an engine.,1,moped,vehicle,has an engine,1055
a van has an engine.,1,van,vehicle,has an engine,1056
a taxi has an engine.,1,taxi,vehicle,has an engine,1057
a ship has an engine.,1,ship,water vehicle,has an engine,1058
a ferry has an engine.,1,ferry,water vehicle,has an engine,1059
an ambulance has an engine.,1,ambulance,vehicle,has an engine,1060
a speedboat has an engine.,1,speedboat,water vehicle,has an engine,1061
a helicopter has an engine.,1,helicopter,vehicle,has an engine,1062
a houseboat has an engine.,1,houseboat,water vehicle,has an engine,1063
a tugboat has an engine.,1,tugboat,water vehicle,has an engine,1064
a tractor has an engine.,1,tractor,vehicle,has an engine,1065
a coach has an engine.,1,coach,vehicle,has an engine,1066
a barge has an engine.,1,barge,water vehicle,has an engine,1067
a dinghy has an engine.,1,dinghy,water vehicle,has an engine,1068
a train has an engine.,1,train,vehicle,has an engine,1069
a truck has an engine.,1,truck,vehicle,has an engine,1070
an airplane has an engine.,1,airplane,vehicle,has an engine,1071
a chainsaw has an engine.,1,chainsaw,tool,has an engine,1072
a submarine has an engine.,1,submarine,water vehicle,has an engine,1073
a boat has an engine.,1,boat,water vehicle,has an engine,1074
an oil tanker has an engine.,1,oil_tanker,water vehicle,has an engine,1075
a bus has an engine.,1,bus,vehicle,has an engine,1076
a plow has an engine.,1,plow,tool,has an engine,1077
a trolley has an engine.,0,trolley,vehicle,has an engine,1078
a basin has an engine.,0,basin,container,has an engine,1079
a tricycle has an engine.,0,tricycle,vehicle,has an engine,1080
a club has an engine.,0,club,weapon,has an engine,1081
a box has an engine.,0,box,container,has an engine,1082
a hoe has an engine.,0,hoe,tool,has an engine,1083
a lamp has an engine.,0,lamp,furniture,has an engine,1084
a chestnut tree has an engine.,0,chestnut,tree,has an engine,1085
a buggy has an engine.,0,buggy,vehicle,has an engine,1086
a sofa has an engine.,0,sofa,furniture,has an engine,1087
a carriage has an engine.,0,carriage,vehicle,has an engine,1088
a dresser has an engine.,0,dresser,furniture,has an engine,1089
a peeler has an engine.,0,peeler,kitchenware,has an engine,1090
a kayak has an engine.,0,kayak,water vehicle,has an engine,1091
a unicycle has an engine.,0,unicycle,vehicle,has an engine,1092
a cart has an engine.,0,cart,vehicle,has an engine,1093
a basket has an engine.,0,basket,container,has an engine,1094
a harpoon has an engine.,0,harpoon,weapon,has an engine,1095
a ladle has an engine.,0,ladle,kitchenware,has an engine,1096
a bag has an engine.,0,bag,container,has an engine,1097
a sledge has an engine.,0,sledge,vehicle,has an engine,1098
a bin has an engine.,0,bin,container,has an engine,1099
a skateboard has an engine.,0,skateboard,toy,has an engine,1100
a crayfish has an engine.,0,crayfish,sea creature,has an engine,1101
a bucket has an engine.,0,bucket,container,has an engine,1102
a table has an engine.,0,table,furniture,has an engine,1103
a glider has an engine.,0,glider,vehicle,has an engine,1104
a wheelbarrow has an engine.,0,wheelbarrow,vehicle,has an engine,1105
a bicycle has an engine.,0,bicycle,vehicle,has an engine,1106
a chest of drawers has an engine.,0,chest_of_drawers,furniture,has an engine,1107
a bottle has an engine.,0,bottle,container,has an engine,1108
a bookcase has an engine.,0,bookcase,furniture,has an engine,1109
a spirit level has an engine.,0,spirit_level,tool,has an engine,1110
a wallet has an engine.,0,wallet,container,has an engine,1111
a dandelion has an engine.,0,dandelion,flower,has an engine,1112
an ashtray has an engine.,0,ashtray,container,has an engine,1113
a caravan has an engine.,0,caravan,vehicle,has an engine,1114
an avocado has an engine.,0,avocado,vegetable,has an engine,1115
a bathtub has an engine.,0,bathtub,container,has an engine,1116
a canoe has an engine.,0,canoe,water vehicle,has an engine,1117
a van contains aluminum.,1,van,vehicle,contains aluminum,1118
a motorcycle contains aluminum.,1,motorcycle,vehicle,contains aluminum,1119
a taxi contains aluminum.,1,taxi,vehicle,contains aluminum,1120
a lorry contains aluminum.,1,lorry,vehicle,contains aluminum,1121
a trolley contains aluminum.,1,trolley,vehicle,contains aluminum,1122
an airplane contains aluminum.,1,airplane,vehicle,contains aluminum,1123
a truck contains aluminum.,1,truck,vehicle,contains aluminum,1124
a limousine contains aluminum.,1,limousine,vehicle,contains aluminum,1125
a car contains aluminum.,1,car,vehicle,contains aluminum,1126
a tractor contains aluminum.,1,tractor,vehicle,contains aluminum,1127
an ambulance contains aluminum.,1,ambulance,vehicle,contains aluminum,1128
a bus contains aluminum.,1,bus,vehicle,contains aluminum,1129
a train contains aluminum.,1,train,vehicle,contains aluminum,1130
a helicopter contains aluminum.,1,helicopter,vehicle,contains aluminum,1131
a tugboat contains aluminum.,0,tugboat,water vehicle,contains aluminum,1132
a tank contains aluminum.,0,tank,vehicle,contains aluminum,1133
a glider contains aluminum.,0,glider,vehicle,contains aluminum,1134
a tricycle contains aluminum.,0,tricycle,vehicle,contains aluminum,1135
a yacht contains aluminum.,0,yacht,water vehicle,contains aluminum,1136
a wheelbarrow contains aluminum.,0,wheelbarrow,vehicle,contains aluminum,1137
a bicycle contains aluminum.,0,bicycle,vehicle,contains aluminum,1138
a buggy contains aluminum.,0,buggy,vehicle,contains aluminum,1139
a rocket contains aluminum.,0,rocket,vehicle,contains aluminum,1140
a carriage contains aluminum.,0,carriage,vehicle,contains aluminum,1141
a coach contains aluminum.,0,coach,vehicle,contains aluminum,1142
a barge contains aluminum.,0,barge,water vehicle,contains aluminum,1143
a dinghy contains aluminum.,0,dinghy,water vehicle,contains aluminum,1144
a unicycle contains aluminum.,0,unicycle,vehicle,contains aluminum,1145
a moped contains aluminum.,0,moped,vehicle,contains aluminum,1146
a kayak contains aluminum.,0,kayak,water vehicle,contains aluminum,1147
a cart contains aluminum.,0,cart,vehicle,contains aluminum,1148
a canoe contains aluminum.,0,canoe,water vehicle,contains aluminum,1149
a ship contains aluminum.,0,ship,water vehicle,contains aluminum,1150
a ferry contains aluminum.,0,ferry,water vehicle,contains aluminum,1151
an ashtray contains aluminum.,0,ashtray,container,contains aluminum,1152
a caravan contains aluminum.,0,caravan,vehicle,contains aluminum,1153
a sledge contains aluminum.,0,sledge,vehicle,contains aluminum,1154
a boat contains aluminum.,0,boat,water vehicle,contains aluminum,1155
an oil tanker contains aluminum.,0,oil_tanker,water vehicle,contains aluminum,1156
a skateboard contains aluminum.,0,skateboard,toy,contains aluminum,1157
a speedboat contains aluminum.,0,speedboat,water vehicle,contains aluminum,1158
a houseboat contains aluminum.,0,houseboat,water vehicle,contains aluminum,1159
a frisbee is aerodynamic.,1,frisbee,toy,is aerodynamic,1160
a kite is aerodynamic.,1,kite,toy,is aerodynamic,1161
a glider is aerodynamic.,1,glider,vehicle,is aerodynamic,1162
an airplane is aerodynamic.,1,airplane,vehicle,is aerodynamic,1163
a spear is aerodynamic.,1,spear,weapon,is aerodynamic,1164
an arrow is aerodynamic.,1,arrow,weapon,is aerodynamic,1165
a rocket is aerodynamic.,1,rocket,vehicle,is aerodynamic,1166
a boomerang is aerodynamic.,1,boomerang,toy,is aerodynamic,1167
a raft is aerodynamic.,0,raft,water vehicle,is aerodynamic,1168
a tricycle is aerodynamic.,0,tricycle,vehicle,is aerodynamic,1169
a yoyo is aerodynamic.,0,yoyo,toy,is aerodynamic,1170
a bicycle is aerodynamic.,0,bicycle,vehicle,is aerodynamic,1171
a balloon is aerodynamic.,0,balloon,toy,is aerodynamic,1172
a rattle is aerodynamic.,0,rattle,toy,is aerodynamic,1173
a unicycle is aerodynamic.,0,unicycle,vehicle,is aerodynamic,1174
a bow is aerodynamic.,0,bow,weapon,is aerodynamic,1175
a bullet is aerodynamic.,0,bullet,weapon,is aerodynamic,1176
a catapult is aerodynamic.,0,catapult,weapon,is aerodynamic,1177
a sword is aerodynamic.,0,sword,weapon,is aerodynamic,1178
an ashtray is aerodynamic.,0,ashtray,container,is aerodynamic,1179
a sledge is aerodynamic.,0,sledge,vehicle,is aerodynamic,1180
a gun is aerodynamic.,0,gun,weapon,is aerodynamic,1181
a doll is aerodynamic.,0,doll,toy,is aerodynamic,1182
a skateboard is aerodynamic.,0,skateboard,toy,is aerodynamic,1183
a kite is flown.,1,kite,toy,is flown,1352
a glider is flown.,1,glider,vehicle,is flown,1353
an airplane is flown.,1,airplane,vehicle,is flown,1354
a rocket is flown.,1,rocket,vehicle,is flown,1355
a helicopter is flown.,1,helicopter,vehicle,is flown,1356
a van is flown.,0,van,vehicle,is flown,1357
a tricycle is flown.,0,tricycle,vehicle,is flown,1358
a catapult is flown.,0,catapult,weapon,is flown,1359
a skateboard is flown.,0,skateboard,toy,is flown,1360
a bicycle is flown.,0,bicycle,vehicle,is flown,1361
a balloon is flown.,0,balloon,toy,is flown,1362
an ashtray is flown.,0,ashtray,container,is flown,1363
a sledge is flown.,0,sledge,vehicle,is flown,1364
a carriage is flown.,0,carriage,vehicle,is flown,1365
a unicycle is flown.,0,unicycle,vehicle,is flown,1366
an airplane is found in airports.,1,airplane,vehicle,is found in airports,1367
a helicopter is found in airports.,1,helicopter,vehicle,is found in airports,1368
an ashtray is found in airports.,0,ashtray,container,is found in airports,1369
a yacht is found in airports.,0,yacht,water vehicle,is found in airports,1370
a ship is found in airports.,0,ship,water vehicle,is found in airports,1371
a glider is found in airports.,0,glider,vehicle,is found in airports,1372
a ball can be white in color.,1,ball,toy,can be white in color,1373
a carnation can be white in color.,1,carnation,flower,can be white in color,1374
a dice can be white in color.,1,dice,toy,can be white in color,1375
a tank can be white in color.,1,tank,vehicle,can be white in color,1376
a tiger can be white in color.,1,tiger,animal,can be white in color,1377
a wolf can be white in color.,1,wolf,animal,can be white in color,1378
a basin can be white in color.,1,basin,container,can be white in color,1379
a tricycle can be white in color.,1,tricycle,vehicle,can be white in color,1380
a radish can be white in color.,1,radish,vegetable,can be white in color,1381
a bear can be white in color.,1,bear,animal,can be white in color,1382
a cow can be white in color.,1,cow,animal,can be white in color,1383
a chestnut tree can be white in color.,1,chestnut,tree,can be white in color,1384
a calf can be white in color.,1,calf,animal,can be white in color,1385
an oven can be white in color.,1,oven,appliance,can be white in color,1386
a swing can be white in color.,1,swing,toy,can be white in color,1387
wine can be white in color.,1,wine,drink,can be white in color,1388
a rocket can be white in color.,1,rocket,vehicle,can be white in color,1389
a carriage can be white in color.,1,carriage,vehicle,can be white in color,1390
a motorcycle can be white in color.,1,motorcycle,vehicle,can be white in color,1391
a dishwasher can be white in color.,1,dishwasher,appliance,can be white in color,1392
a kayak can be white in color.,1,kayak,water vehicle,can be white in color,1393
a crab can be white in color.,1,crab,sea creature,can be white in color,1394
a dove can be white in color.,1,dove,bird,can be white in color,1395
a cod can be white in color.,1,cod,fish,can be white in color,1396
a taxi can be white in color.,1,taxi,vehicle,can be white in color,1397
knickers can be white in color.,1,knickers,clothing,can be white in color,1398
a daffodil can be white in color.,1,daffodil,flower,can be white in color,1399
jeans can be white in color.,1,jeans,clothing,can be white in color,1400
a grater can be white in color.,1,grater,kitchenware,can be white in color,1401
a basket can be white in color.,1,basket,container,can be white in color,1402
rice can be white in color.,1,rice,food,can be white in color,1403
a goose can be white in color.,1,goose,bird,can be white in color,1404
a ladle can be white in color.,1,ladle,kitchenware,can be white in color,1405
a sledge can be white in color.,1,sledge,vehicle,can be white in color,1406
a cage can be white in color.,1,cage,container,can be white in color,1407
an ambulance can be white in color.,1,ambulance,vehicle,can be white in color,1408
a gloves can be white in color.,1,gloves,clothing,can be white in color,1409
a skateboard can be white in color.,1,skateboard,toy,can be white in color,1410
a chipmunk can be white in color.,1,chipmunk,animal,can be white in color,1411
a bucket can be white in color.,1,bucket,container,can be white in color,1412
a swimsuit can be white in color.,1,swimsuit,clothing,can be white in color,1413
a kettle can be white in color.,1,kettle,appliance,can be white in color,1414
a dressing gown can be white in color.,1,dressing_gown,clothing,can be white in color,1415
a goat can be white in color.,1,goat,animal,can be white in color,1416
a fox can be white in color.,1,fox,animal,can be white in color,1417
a tractor can be white in color.,1,tractor,vehicle,can be white in color,1418
a football can be white in color.,1,football,toy,can be white in color,1419
a bra can be white in color.,1,bra,clothing,can be white in color,1420
a pelican can be white in color.,1,pelican,bird,can be white in color,1421
a seagull can be white in color.,1,seagull,bird,can be white in color,1422
a sweater can be white in color.,1,sweater,clothing,can be white in color,1423
a blouse can be white in color.,1,blouse,clothing,can be white in color,1424
a mussel can be white in color.,1,mussel,sea creature,can be white in color,1425
a rhino can be white in color.,1,rhino,animal,can be white in color,1426
an ashtray can be white in color.,1,ashtray,container,can be white in color,1427
a spatula can be white in color.,1,spatula,kitchenware,can be white in color,1428
a dress can be white in color.,1,dress,clothing,can be white in color,1429
a trouser can be white in color.,1,trouser,clothing,can be white in color,1430
a pajama can be white in color.,1,pajama,clothing,can be white in color,1431
ice cream can be white in color.,1,ice_cream,food,can be white in color,1432
a suit can be white in color.,1,suit,clothing,can be white in color,1433
a skunk can be white in color.,1,skunk,animal,can be white in color,1434
a lorry can be white in color.,1,lorry,vehicle,can be white in color,1435
a garlic can be white in color.,1,garlic,vegetable,can be white in color,1436
a scallop can be white in color.,1,scallop,sea creature,can be white in color,1437
a hair can be white in color.,1,hair,body part,can be white in color,1438
a marble can be white in color.,1,marble,toy,can be white in color,1439
a lamb can be white in color.,1,lamb,animal,can be white in color,1440
an onion can be white in color.,1,onion,vegetable,can be white in color,1441
a leek can be white in color.,1,leek,vegetable,can be white in color,1442
a belt can be white in color.,1,belt,clothing,can be white in color,1443
a helmet can be white in color.,1,helmet,clothing,can be white in color,1444
a sink can be white in color.,1,sink,container,can be white in color,1445
a coconut can be white in color.,1,coconut,fruit,can be white in color,1446
a worm can be white in color.,1,worm,invertebrate,can be white in color,1447
a corkscrew can be white in color.,1,corkscrew,kitchenware,can be white in color,1448
a cape can be white in color.,1,cape,clothing,can be white in color,1449
a microwave can be white in color.,1,microwave,appliance,can be white in color,1450
a rollerskate can be white in color.,1,rollerskate,toy,can be white in color,1451
a wetsuit can be white in color.,1,wetsuit,clothing,can be white in color,1452
a radio can be white in color.,1,radio,appliance,can be white in color,1453
a cart can be white in color.,1,cart,vehicle,can be white in color,1454
a frisbee can be white in color.,1,frisbee,toy,can be white in color,1455
a scarf can be white in color.,1,scarf,clothing,can be white in color,1456
a zebra can be white in color.,1,zebra,animal,can be white in color,1457
a can opener can be white in color.,1,can_opener,kitchenware,can be white in color,1458
an orchid can be white in color.,1,orchid,flower,can be white in color,1459
