sentence,label,concept,category,feature,id
a scalpel has an engine.,0,scalpel,tool,has an engine,1300
a trolley has an engine.,0,trolley,vehicle,has an engine,1301
a lobster has an engine.,0,lobster,sea creature,has an engine,1302
a basin has an engine.,0,basin,container,has an engine,1303
a tricycle has an engine.,0,tricycle,vehicle,has an engine,1304
a violin has an engine.,0,violin,music,has an engine,1305
a finger has an engine.,0,finger,body part,has an engine,1306
a club has an engine.,0,club,weapon,has an engine,1307
a box has an engine.,0,box,container,has an engine,1308
a hoe has an engine.,0,hoe,tool,has an engine,1309
a lamp has an engine.,0,lamp,furniture,has an engine,1310
a buzzard has an engine.,0,buzzard,bird,has an engine,1311
a buggy has an engine.,0,buggy,vehicle,has an engine,1312
a carriage has an engine.,0,carriage,vehicle,has an engine,1313
a dresser has an engine.,0,dresser,furniture,has an engine,1314
a peeler has an engine.,0,peeler,kitchenware,has an engine,1315
a jar has an engine.,0,jar,container,has an engine,1316
a kayak has an engine.,0,kayak,water vehicle,has an engine,1317
a unicycle has an engine.,0,unicycle,vehicle,has an engine,1318
a rollerskate has an engine.,0,rollerskate,toy,has an engine,1319
a cart has an engine.,0,cart,vehicle,has an engine,1320
a strainer has an engine.,0,strainer,kitchenware,has an engine,1321
a banana has an engine.,0,banana,fruit,has an engine,1322
a tray has an engine.,0,tray,kitchenware,has an engine,1323
a bolt has an engine.,0,bolt,tool,has an engine,1324
a basket has an engine.,0,basket,container,has an engine,1325
a harpoon has an engine.,0,harpoon,weapon,has an engine,1326
a parka has an engine.,0,parka,clothing,has an engine,1327
a ladle has an engine.,0,ladle,kitchenware,has an engine,1328
a lizard has an engine.,0,lizard,animal,has an engine,1329
a bag has an engine.,0,bag,container,has an engine,1330
butter has an engine.,0,butter,food,has an engine,1331
a budgie has an engine.,0,budgie,bird,has an engine,1332
a sledge has an engine.,0,sledge,vehicle,has an engine,1333
an elm tree has an engine.,0,elm,tree,has an engine,1334
a bomb has an engine.,0,bomb,weapon,has an engine,1335
a mirror has an engine.,0,mirror,furniture,has an engine,1336
a bin has an engine.,0,bin,container,has an engine,1337
a skateboard has an engine.,0,skateboard,toy,has an engine,1338
a camera has an engine.,0,camera,appliance,has an engine,1339
a clamp has an engine.,0,clamp,tool,has an engine,1340
a bowl has an engine.,0,bowl,container,has an engine,1341
a bucket has an engine.,0,bucket,container,has an engine,1342
a table has an engine.,0,table,furniture,has an engine,1343
a barrel has an engine.,0,barrel,container,has an engine,1344
a glider has an engine.,0,glider,vehicle,has an engine,1345
a drill has an engine.,0,drill,tool,has an engine,1346
a corn has an engine.,0,corn,vegetable,has an engine,1347
a wheelbarrow has an engine.,0,wheelbarrow,vehicle,has an engine,1348
a bicycle has an engine.,0,bicycle,vehicle,has an engine,1349
a chest of drawers has an engine.,0,chest_of_drawers,furniture,has an engine,1350
a ladybird has an engine.,0,ladybird,invertebrate,has an engine,1351
a caterpillar has an engine.,0,caterpillar,invertebrate,has an engine,1352
a bottle has an engine.,0,bottle,container,has an engine,1353
a bookcase has an engine.,0,bookcase,furniture,has an engine,1354
an armor has an engine.,0,armor,clothing,has an engine,1355
a nail has an engine.,0,nail,tool,has an engine,1356
a carrot has an engine.,0,carrot,vegetable,has an engine,1357
a shark has an engine.,0,shark,fish,has an engine,1358
a spirit level has an engine.,0,spirit_level,tool,has an engine,1359
a wallet has an engine.,0,wallet,container,has an engine,1360
a pelican has an engine.,0,pelican,bird,has an engine,1361
a mussel has an engine.,0,mussel,sea creature,has an engine,1362
a rake has an engine.,0,rake,tool,has an engine,1363
an ashtray has an engine.,0,ashtray,container,has an engine,1364
a caravan has an engine.,0,caravan,vehicle,has an engine,1365
champagne has an engine.,0,champagne,drink,has an engine,1366
a sandwich has an engine.,0,sandwich,food,has an engine,1367
a broom has an engine.,0,broom,tool,has an engine,1368
a bathtub has an engine.,0,bathtub,container,has an engine,1369
a canoe has an engine.,0,canoe,water vehicle,has an engine,1370
a van contains aluminum.,1,van,vehicle,contains aluminum,1371
a motorcycle contains aluminum.,1,motorcycle,vehicle,contains aluminum,1372
a taxi contains aluminum.,1,taxi,vehicle,contains aluminum,1373
a lorry contains aluminum.,1,lorry,vehicle,contains aluminum,1374
a trolley contains aluminum.,1,trolley,vehicle,contains aluminum,1375
an airplane contains aluminum.,1,airplane,vehicle,contains aluminum,1376
a truck contains aluminum.,1,truck,vehicle,contains aluminum,1377
a limousine contains aluminum.,1,limousine,vehicle,contains aluminum,1378
a car contains aluminum.,1,car,vehicle,contains aluminum,1379
a tractor contains aluminum.,1,tractor,vehicle,contains aluminum,1380
an ambulance contains aluminum.,1,ambulance,vehicle,contains aluminum,1381
a bus contains aluminum.,1,bus,vehicle,contains aluminum,1382
a train contains aluminum.,1,train,vehicle,contains aluminum,1383
a helicopter contains aluminum.,1,helicopter,vehicle,contains aluminum,1384
a tank contains aluminum.,0,tank,vehicle,contains aluminum,1385
a tricycle contains aluminum.,0,tricycle,vehicle,contains aluminum,1386
a yacht contains aluminum.,0,yacht,water vehicle,contains aluminum,1387
a club contains aluminum.,0,club,weapon,contains aluminum,1388
a box contains aluminum.,0,box,container,contains aluminum,1389
a lamp contains aluminum.,0,lamp,furniture,contains aluminum,1390
a buggy contains aluminum.,0,buggy,vehicle,contains aluminum,1391
a rocket contains aluminum.,0,rocket,vehicle,contains aluminum,1392
a carriage contains aluminum.,0,carriage,vehicle,contains aluminum,1393
a peeler contains aluminum.,0,peeler,kitchenware,contains aluminum,1394
a unicycle contains aluminum.,0,unicycle,vehicle,contains aluminum,1395
a moped contains aluminum.,0,moped,vehicle,contains aluminum,1396
a kayak contains aluminum.,0,kayak,water vehicle,contains aluminum,1397
a cart contains aluminum.,0,cart,vehicle,contains aluminum,1398
a bolt contains aluminum.,0,bolt,tool,contains aluminum,1399
a basket contains aluminum.,0,basket,container,contains aluminum,1400
a ship contains aluminum.,0,ship,water vehicle,contains aluminum,1401
a harpoon contains aluminum.,0,harpoon,weapon,contains aluminum,1402
a ladle contains aluminum.,0,ladle,kitchenware,contains aluminum,1403
a ferry contains aluminum.,0,ferry,water vehicle,contains aluminum,1404
a bag contains aluminum.,0,bag,container,contains aluminum,1405
a sledge contains aluminum.,0,sledge,vehicle,contains aluminum,1406
a bin contains aluminum.,0,bin,container,contains aluminum,1407
a skateboard contains aluminum.,0,skateboard,toy,contains aluminum,1408
a speedboat contains aluminum.,0,speedboat,water vehicle,contains aluminum,1409
a houseboat contains aluminum.,0,houseboat,water vehicle,contains aluminum,1410
a tugboat contains aluminum.,0,tugboat,water vehicle,contains aluminum,1411
a glider contains aluminum.,0,glider,vehicle,contains aluminum,1412
a wheelbarrow contains aluminum.,0,wheelbarrow,vehicle,contains aluminum,1413
a bicycle contains aluminum.,0,bicycle,vehicle,contains aluminum,1414
a chest of drawers contains aluminum.,0,chest_of_drawers,furniture,contains aluminum,1415
a coach contains aluminum.,0,coach,vehicle,contains aluminum,1416
a bottle contains aluminum.,0,bottle,container,contains aluminum,1417
a barge contains aluminum.,0,barge,water vehicle,contains aluminum,1418
a dinghy contains aluminum.,0,dinghy,water vehicle,contains aluminum,1419
